Threads,Schedule,ChunkSize,Time
1,static,1,0.11010
1,static,4,0.09622
1,static,8,0.09621
1,dynamic,1,0.09607
1,dynamic,4,0.10142
1,dynamic,8,0.09969
1,guided,1,0.10380
1,guided,4,0.09759
1,guided,8,0.09898
2,static,1,0.05508
2,static,4,0.05133
2,static,8,0.05435
2,dynamic,1,0.05448
2,dynamic,4,0.05093
2,dynamic,8,0.05555
2,guided,1,0.05127
2,guided,4,0.05499
2,guided,8,0.05598
4,static,1,0.06570
4,static,4,0.05692
4,static,8,0.05103
4,dynamic,1,0.05362
4,dynamic,4,0.05162
4,dynamic,8,0.05492
4,guided,1,0.05504
4,guided,4,0.05182
4,guided,8,0.05028
8,static,1,0.06529
8,static,4,0.03193
8,static,8,0.03339
8,dynamic,1,0.03604
8,dynamic,4,0.03284
8,dynamic,8,0.03073
8,guided,1,0.02961
8,guided,4,0.03130
8,guided,8,0.03431
16,static,1,1.26714
16,static,4,1.58635
16,static,8,1.70871
16,dynamic,1,1.88894
16,dynamic,4,1.94999
16,dynamic,8,1.90719
16,guided,1,1.79365
16,guided,4,1.34251
16,guided,8,1.26159
