Threads,Schedule,ChunkSize,Time,CenterValue,AverageValue
1,static,1,0.09385,0.00000,0.00000
1,static,4,0.09288,0.00000,0.00000
1,static,8,0.09214,0.00000,0.00000
1,dynamic,1,0.34151,0.00000,0.00000
1,dynamic,4,0.16609,0.00000,0.00000
1,dynamic,8,0.12415,0.00000,0.00000
1,guided,1,0.09582,0.00000,0.00000
1,guided,4,0.09163,0.00000,0.00000
1,guided,8,0.11344,0.00000,0.00000
2,static,1,0.23182,0.00000,0.00000
2,static,4,0.12177,0.00000,0.00000
2,static,8,0.07282,0.00000,0.00000
2,dynamic,1,0.26890,0.00000,0.00000
2,dynamic,4,0.14664,0.00000,0.00000
2,dynamic,8,0.10222,0.00000,0.00000
2,guided,1,0.05110,0.00000,0.00000
2,guided,4,0.04943,0.00000,0.00000
2,guided,8,0.07965,0.00000,0.00000
4,static,1,0.16175,0.00000,0.00000
4,static,4,0.07702,0.00000,0.00000
4,static,8,0.04536,0.00000,0.00000
4,dynamic,1,0.47960,0.00000,0.00000
4,dynamic,4,0.12812,0.00000,0.00000
4,dynamic,8,0.07447,0.00000,0.00000
4,guided,1,0.03030,0.00000,0.00000
4,guided,4,0.03400,0.00000,0.00000
4,guided,8,0.02956,0.00000,0.00000
8,static,1,0.08991,0.00000,0.00000
8,static,4,0.04572,0.00000,0.00000
8,static,8,0.03900,0.00000,0.00000
8,dynamic,1,0.46200,0.00000,0.00000
8,dynamic,4,0.11255,0.00000,0.00000
8,dynamic,8,0.07124,0.00000,0.00000
8,guided,1,0.03000,0.00000,0.00000
8,guided,4,0.02928,0.00000,0.00000
8,guided,8,0.02839,0.00000,0.00000
16,static,1,0.81916,0.00000,0.00000
16,static,4,0.79434,0.00000,0.00000
16,static,8,0.79438,0.00000,0.00000
16,dynamic,1,0.83285,0.00000,0.00000
16,dynamic,4,0.78616,0.00000,0.00000
16,dynamic,8,0.78202,0.00000,0.00000
16,guided,1,0.77441,0.00000,0.00000
16,guided,4,0.78464,0.00000,0.00000
16,guided,8,0.77907,0.00000,0.00000
