n_threads,schedule,collapse,N,tempo
1,static,1,128,1.712140
1,dynamic,1,128,1.261058
1,guided,1,128,1.479869
1,static,2,128,1.590010
1,dynamic,2,128,1.649255
1,guided,2,128,1.497028
1,static,3,128,1.618573
1,dynamic,3,128,1.616208
1,guided,3,128,1.199583
2,static,1,128,0.685753
2,dynamic,1,128,0.681602
2,guided,1,128,0.658577
2,static,2,128,0.632654
2,dynamic,2,128,0.645182
2,guided,2,128,0.651305
2,static,3,128,0.912406
2,dynamic,3,128,0.689069
2,guided,3,128,0.670752
4,static,1,128,0.306070
4,dynamic,1,128,0.266172
4,guided,1,128,0.366530
4,static,2,128,0.338867
4,dynamic,2,128,0.279585
4,guided,2,128,0.275089
4,static,3,128,0.712368
4,dynamic,3,128,0.708212
4,guided,3,128,0.831844
8,static,1,128,0.550077
8,dynamic,1,128,0.285784
8,guided,1,128,0.285600
8,static,2,128,0.394420
8,dynamic,2,128,0.560510
8,guided,2,128,0.694052
8,static,3,128,1.083121
8,dynamic,3,128,1.091127
8,guided,3,128,0.738437
16,static,1,128,0.598238
16,dynamic,1,128,0.322154
16,guided,1,128,0.638901
16,static,2,128,0.774132
16,dynamic,2,128,0.552385
16,guided,2,128,0.392808
16,static,3,128,0.774038
16,dynamic,3,128,0.816088
16,guided,3,128,0.869234
32,static,1,128,0.558731
32,dynamic,1,128,0.365018
32,guided,1,128,0.433480
32,static,2,128,0.409190
32,dynamic,2,128,0.409555
32,guided,2,128,0.555371
32,static,3,128,0.946044
32,dynamic,3,128,0.956029
32,guided,3,128,0.761940
64,static,1,128,0.397853
64,dynamic,1,128,0.372915
64,guided,1,128,0.385450
64,static,2,128,0.355022
64,dynamic,2,128,0.558653
64,guided,2,128,0.566766
64,static,3,128,1.043225
64,dynamic,3,128,1.182254
64,guided,3,128,1.301255
128,static,1,128,1.470883
128,dynamic,1,128,1.465987
128,guided,1,128,1.569568
128,static,2,128,0.915529
128,dynamic,2,128,0.955851
128,guided,2,128,1.017351
128,static,3,128,1.373066
128,dynamic,3,128,1.718513
128,guided,3,128,1.483502
