[INFO] Compilando main_forte.c...
[INFO] Executando com 1 threads | schedule=static | collapse=1
[INFO] Executando com 1 threads | schedule=dynamic | collapse=1
[INFO] Executando com 1 threads | schedule=guided | collapse=1
[INFO] Executando com 1 threads | schedule=static | collapse=2
[INFO] Executando com 1 threads | schedule=dynamic | collapse=2
[INFO] Executando com 1 threads | schedule=guided | collapse=2
[INFO] Executando com 1 threads | schedule=static | collapse=3
[INFO] Executando com 1 threads | schedule=dynamic | collapse=3
[INFO] Executando com 1 threads | schedule=guided | collapse=3
[INFO] Executando com 2 threads | schedule=static | collapse=1
[INFO] Executando com 2 threads | schedule=dynamic | collapse=1
[INFO] Executando com 2 threads | schedule=guided | collapse=1
[INFO] Executando com 2 threads | schedule=static | collapse=2
[INFO] Executando com 2 threads | schedule=dynamic | collapse=2
[INFO] Executando com 2 threads | schedule=guided | collapse=2
[INFO] Executando com 2 threads | schedule=static | collapse=3
[INFO] Executando com 2 threads | schedule=dynamic | collapse=3
[INFO] Executando com 2 threads | schedule=guided | collapse=3
[INFO] Executando com 4 threads | schedule=static | collapse=1
[INFO] Executando com 4 threads | schedule=dynamic | collapse=1
[INFO] Executando com 4 threads | schedule=guided | collapse=1
[INFO] Executando com 4 threads | schedule=static | collapse=2
[INFO] Executando com 4 threads | schedule=dynamic | collapse=2
[INFO] Executando com 4 threads | schedule=guided | collapse=2
[INFO] Executando com 4 threads | schedule=static | collapse=3
[INFO] Executando com 4 threads | schedule=dynamic | collapse=3
[INFO] Executando com 4 threads | schedule=guided | collapse=3
[INFO] Executando com 8 threads | schedule=static | collapse=1
[INFO] Executando com 8 threads | schedule=dynamic | collapse=1
[INFO] Executando com 8 threads | schedule=guided | collapse=1
[INFO] Executando com 8 threads | schedule=static | collapse=2
[INFO] Executando com 8 threads | schedule=dynamic | collapse=2
[INFO] Executando com 8 threads | schedule=guided | collapse=2
[INFO] Executando com 8 threads | schedule=static | collapse=3
[INFO] Executando com 8 threads | schedule=dynamic | collapse=3
[INFO] Executando com 8 threads | schedule=guided | collapse=3
[INFO] Executando com 16 threads | schedule=static | collapse=1
[INFO] Executando com 16 threads | schedule=dynamic | collapse=1
[INFO] Executando com 16 threads | schedule=guided | collapse=1
[INFO] Executando com 16 threads | schedule=static | collapse=2
[INFO] Executando com 16 threads | schedule=dynamic | collapse=2
[INFO] Executando com 16 threads | schedule=guided | collapse=2
[INFO] Executando com 16 threads | schedule=static | collapse=3
[INFO] Executando com 16 threads | schedule=dynamic | collapse=3
[INFO] Executando com 16 threads | schedule=guided | collapse=3
[INFO] Executando com 32 threads | schedule=static | collapse=1
[INFO] Executando com 32 threads | schedule=dynamic | collapse=1
[INFO] Executando com 32 threads | schedule=guided | collapse=1
[INFO] Executando com 32 threads | schedule=static | collapse=2
[INFO] Executando com 32 threads | schedule=dynamic | collapse=2
[INFO] Executando com 32 threads | schedule=guided | collapse=2
[INFO] Executando com 32 threads | schedule=static | collapse=3
[INFO] Executando com 32 threads | schedule=dynamic | collapse=3
[INFO] Executando com 32 threads | schedule=guided | collapse=3
[INFO] Executando com 64 threads | schedule=static | collapse=1
[INFO] Executando com 64 threads | schedule=dynamic | collapse=1
[INFO] Executando com 64 threads | schedule=guided | collapse=1
[INFO] Executando com 64 threads | schedule=static | collapse=2
[INFO] Executando com 64 threads | schedule=dynamic | collapse=2
[INFO] Executando com 64 threads | schedule=guided | collapse=2
[INFO] Executando com 64 threads | schedule=static | collapse=3
[INFO] Executando com 64 threads | schedule=dynamic | collapse=3
[INFO] Executando com 64 threads | schedule=guided | collapse=3
[INFO] Executando com 128 threads | schedule=static | collapse=1
[INFO] Executando com 128 threads | schedule=dynamic | collapse=1
[INFO] Executando com 128 threads | schedule=guided | collapse=1
[INFO] Executando com 128 threads | schedule=static | collapse=2
[INFO] Executando com 128 threads | schedule=dynamic | collapse=2
[INFO] Executando com 128 threads | schedule=guided | collapse=2
[INFO] Executando com 128 threads | schedule=static | collapse=3
[INFO] Executando com 128 threads | schedule=dynamic | collapse=3
[INFO] Executando com 128 threads | schedule=guided | collapse=3
