affinity_type,num_threads,execution_time
affinity_type,num_threads,execution_time
"none",1,1.287137
"none",1,1.279308
"none",1,1.279764
"none",2,1.233483
"none",2,1.229036
"none",2,1.234139
"compact",1,1.280954
"compact",1,1.279125
"compact",1,1.283406
"compact",2,1.237042
"compact",2,1.231116
"compact",2,1.235886
"scatter",1,1.280563
"scatter",1,1.284771
"scatter",1,1.283415
"scatter",2,1.233380
"scatter",2,1.233208
"scatter",2,1.237101
"balanced",1,1.282958
"balanced",1,1.281190
"balanced",1,1.279842
"balanced",2,1.227817
"balanced",2,1.227429
"balanced",2,1.228050
