M,N,Num_processos,Tempo_segundos
1000,160,2,0.000968
1000,160,4,0.000915
1000,160,8,0.001077
1000,160,16,0.001538
1000,160,32,0.010501
1000,320,2,0.001665
1000,320,4,0.001353
1000,320,8,0.001389
1000,320,16,0.002775
1000,320,32,0.009868
1000,640,2,0.003264
1000,640,4,0.003281
1000,640,8,0.002444
1000,640,16,0.003244
1000,640,32,0.005918
1000,1000,2,0.004131
1000,1000,4,0.005048
1000,1000,8,0.002587
1000,1280,2,0.005283
1000,1280,4,0.006445
1000,1280,8,0.006617
1000,1280,16,0.004378
1000,1280,32,0.005583
1000,1600,2,0.006147
1000,1600,4,0.006561
1000,1600,8,0.008175
1000,1600,16,0.003808
1000,1600,32,0.005941
1000,2000,2,0.007698
1000,2000,4,0.008301
1000,2000,8,0.010205
1000,2000,16,0.004541
10000,160,2,0.006205
10000,160,4,0.007137
10000,160,8,0.008290
10000,160,16,0.005509
10000,160,32,0.008441
10000,320,2,0.012499
10000,320,4,0.012694
10000,320,8,0.015245
10000,320,16,0.012809
10000,320,32,0.015862
10000,640,2,0.025581
10000,640,4,0.026660
10000,640,8,0.026978
10000,640,16,0.017985
10000,640,32,0.028192
10000,1000,2,0.039343
10000,1000,4,0.039871
10000,1000,8,0.042272
10000,1280,2,0.048135
10000,1280,4,0.049928
10000,1280,8,0.053862
10000,1280,16,0.035287
10000,1280,32,0.044038
10000,1600,2,0.057779
10000,1600,4,0.060482
10000,1600,8,0.065188
10000,1600,16,0.040972
10000,1600,32,0.055109
10000,2000,2,0.073264
10000,2000,4,0.074725
10000,2000,8,0.080748
10000,2000,16,0.050685
50000,160,2,0.034822
50000,160,4,0.035780
50000,160,8,0.036922
50000,160,16,0.029020
50000,160,32,0.064141
50000,320,2,0.068603
50000,320,4,0.069966
50000,320,8,0.074178
50000,320,16,0.046270
50000,320,32,0.087804
50000,640,2,0.127311
50000,640,4,0.131933
50000,640,8,0.138669
50000,640,16,0.080824
50000,640,32,0.140923
50000,1000,2,0.191740
50000,1000,4,0.194813
50000,1000,8,0.207183
50000,1280,2,0.232996
50000,1280,4,0.244543
50000,1280,8,0.262552
50000,1280,16,0.136878
50000,1280,32,0.219005
50000,1600,2,0.294867
50000,1600,4,0.300856
50000,1600,8,0.317688
50000,1600,16,0.162790
50000,1600,32,0.263629
50000,2000,2,0.356162
50000,2000,4,0.376947
50000,2000,8,0.385706
50000,2000,16,0.201145
100000,160,2,0.069354
100000,160,4,0.071492
100000,160,8,0.077394
100000,160,16,0.073257
100000,160,32,0.110384
100000,320,2,0.136210
100000,320,4,0.137349
100000,320,8,0.154895
100000,320,16,0.089524
100000,320,32,0.177205
100000,640,2,0.259896
100000,640,4,0.261653
100000,640,8,0.272155
100000,640,16,0.160265
100000,640,32,0.276232
100000,1000,2,0.391332
100000,1000,4,0.394048
100000,1000,8,0.410858
100000,1280,2,0.477573
100000,1280,4,0.489696
100000,1280,8,0.525173
100000,1280,16,0.273735
100000,1280,32,0.426853
100000,1600,2,0.588124
100000,1600,4,0.595655
100000,1600,8,0.628628
100000,1600,16,0.331741
100000,1600,32,0.521294
100000,2000,2,0.729024
100000,2000,4,0.735645
100000,2000,8,0.768760
100000,2000,16,0.417483
