Tipo,N,Threads,TotalPrimos,Tempo
Sequencial,1,1,0,0.000000
Sequencial,10,1,4,0.000001
Sequencial,100,1,25,0.000003
Sequencial,1000,1,168,0.000028
Sequencial,10000,1,1229,0.000438
Sequencial,100000,1,9592,0.008110
Sequencial,1000000,1,78498,0.200413
Paralelo,1,1,0,0.000008
Paralelo,1,2,0,0.000149
Paralelo,1,4,0,0.000190
Paralelo,1,8,0,0.000374
Paralelo,10,1,4,0.000006
Paralelo,10,2,4,0.000150
Paralelo,10,4,4,0.000210
Paralelo,10,8,4,0.000376
Paralelo,100,1,25,0.000007
Paralelo,100,2,25,0.000102
Paralelo,100,4,25,0.000190
Paralelo,100,8,25,0.006937
Paralelo,1000,1,168,0.000033
Paralelo,1000,2,168,0.000201
Paralelo,1000,4,168,0.000232
Paralelo,1000,8,168,0.009510
Paralelo,10000,1,1229,0.000420
Paralelo,10000,2,1229,0.000720
Paralelo,10000,4,1229,0.000561
Paralelo,10000,8,1229,0.001543
Paralelo,100000,1,9592,0.009642
Paralelo,100000,2,9592,0.006738
Paralelo,100000,4,9592,0.005789
Paralelo,100000,8,9592,0.007373
Paralelo,1000000,1,78498,0.195022
Paralelo,1000000,2,78498,0.139558
Paralelo,1000000,4,78498,0.107490
Paralelo,1000000,8,78498,0.085451
